*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Default	Default	Alapértelmezett	Verstek	Por defecto	Inplicit	Ustawienia fabryczne	Výchozí	Zadano	Padrão	Padrão	Tavaline	Par Défaut	Par Défaut	기본	默认	默認	Uobičajeno	Стандарт	Varsayılan	Esiasetukset	По подразбиране	Стандарт	Standard	Per defecte	Predefinito	デフォルト	Numatytasis	إفتراضي	Әдепкі	Opprinnelig	Default	चकू	ค่าเริ่มต้น	bawaan	ნაგულისხმევი	Noklusējums	Mặc Định	Κανονικό	Па змаўчанні	Predvolené	Standard	پیش فرض
Label	Label	Név	Etiket	Etiqueta	Eticheta	Oznacz	Značka	Label	Etiqueta	Etiqueta	silt	Étiquette	Étiquette	상표	标签	標簽	Oznaka	Бренд	Etiket	Nimi	Етикет	Найменування	Benennen	Etiqueta	Etichette	ラベル	Etiketė	ضع الكلمة المناسبة	Заттаңба	Navnemerke	Label	लेबल	ตั้งชื่อ	label	Label	Etiķete	Mác	Επιγραφή	Этыкетка	Značka	etikett	برچسب
Edit	Edit	Módosítás	Bewerken	Editar	Editați	Edytuj	Upravit	Uredi	Editar	Editar	Muuda	Modifier	Modifier	편집	编辑	編輯	Promeni	Изменить	Düzenle	Muokkaa	Редактиране	Редагувати	Editieren	Edita	Edita	編集	Redaguoti	تعديل	Өңдеу	Rediger	I-edit	सपं ादन करना	แก้ไข	edit	რედაქტირება	Rediģēt	Chỉnh Sửa	Επεξεργασία	Рэдагаваць	Upraviť	Ändra	تغییر
Format	Format	Formázás	Formatteren	Formato	Format	Formatuj	Zformátovat	Format	Formatar	Formatar	Formatt'i	Formatter	Formatter	형식	格式化	格式化	Formatiraj	Форматировать	Biçimlendiriliyor	Valitse levy	Формат	Форматувати	Formatieren	Format	Formato	フォーマット	Formatas	صيغة	Формат	Formater	Format	प्रारूप	ฟอร์แมต	format	ფორმატი	Formatēt	Format	Format	фармат	Formátovať	Format	پاک کردن
Clone Disk	Clone Disk	Lemezklónozás	Schijf kloon	Clonar Disco	Clonati disk-ul	Kopia dysku	Zdvojit disk	Klon disk	Clonar Disco	Clonar Disco	Ketta Kloonimine	Cloner disque	Cloner disque	디스크 복제	复制硬盘	復制硬盤	Kloniraj disk	Копирование диска	Disk Kopyası	Kopioi levy	Клониране на диск	Клонувати диск	Festplatte Klonen	Clona disc	Clona Disco	ディスククローン	Disko Klonas	استنساخ القرص	Диск клоны	Diskkloning	Clone ng disk	डि स्क क्लोन	คัดลอกฮาร์ดดิสก์	kloning disk	დიკის კლონირება	Klonēt Disku	Nhân Đôi Ổ Cứng	Κλώνος Δίσκου	Клон дыска	Naklonovať disk	Disk kloning	کپی دیسک
Select a disk	Select a disk	Válaszz ki egy lemezt	selecteer een schijf	Selecciona un disco	Selectati disk-ul	Wybierz dysk	vyber disk	Odaberite disk	Selecionar Disco	Selecionar Disco	Vali mingi kettas	Sélectionner disque	Sélectionner disque	디스크를 선택하세요	选择一个硬盘	選擇一個硬盤	Izaberi disk	Выберите диск	Disk seç	Valitse levy	Изберете диск	Виберіть диск	Wähle eine Festplatte aus	selecciona disc	Seleziona disco rigido	ディスクを選択してください	Pasirinkite Diską	حدد القرص	дискіні таңдаңыз	Velg en disk	Pumili ng disk	एक डि स्क चनु ें	เลือกฮาร์ดดิสก์	pilih disk	აირჩიეთ დისკი	izvēlies disku	chọn một ổ cứng	Επιλογή ενός Δίσκου	выбраць дыск	Vybrať disk	Välj en disk	دیسک را انتخاب کنید
Uptime	Uptime	Üzemidő	Uptime	Tiempo de actividad	Timp de Funcționare	Czas Działania	Čas	Uptime	Tempo de Atividade	Tempo de Atividade	Tööaeg	Temps allumé	Temps allumé	가동 시간	运行时间	運行時間	Vreme rada	Время работы	Çalışma zamanı	Käynnissä olo aika	Работно време	Час роботи	Laufzeit	Temps de funcionament	Tempo di Avvio	稼働時間	Veikimo laikas	مدة التشغيل	Жұмыс уақыты	Opptid	Uptime	अपटाइम	เวลาทำงาน	waktu aktif	მუშაობის დრო	Darbības Laiks	Thời Gian Hoạt Động	Χρόνος Λειτουργίας	Час бесперабойнай працы	Čas	På tid	آپتایم
Formatting	Formatting	Formázás	Opmaak	Formateando	Formatare	Formatowanie	Formátování	Formatiranje	Formatando	A Formatar	Formattimine	Formattage en cours	Formattage en cours	형식 설정	格式化中	格式化中	Formatiranje	Форматирование	Biçimlendiriliyor	Alustetaan	Форматиране	Форматування	Am Formatieren	Formatejant	Formattando	フォーマット	Formatuojamas	التنسيق	Пішімдеу	Formatering	Pag-format	का प्रारूपण	กำลังฟอร์แมต	pemformatan	მიმდინარეობს დაფორმატება	Formatējas	Đang Format	Formatting	Фарматаванне	Formátovanie	Formatera	در حال پاک سازی
Copying	Copying	Másolás	Kopiëren	Copiando	Copiere	Kopiowanie	Kopírování	Copying	Copiando	A Copiar	Kopeerib	Copie en cours	Copie en cours	복사	复制中	復制中	Kopiranje	Копирование	Kopyalanıyor	Kopiodaan	Копиране	Копіювання	Am Kopieren	Copiant	Copiando	コピー	Kopijavimas	نسخ	Көшіру	Kopiering	Nangongopya	प्रति लि पि बनाई जा रही	กำลังคัดลอก	menyalin	მიმდინარეობს კოპირება	Kopējas	Đang Sao Chép	Γίνεται Αντιγραφή	Капіраванне	Kopírujem	kopierar	در حال کپی
Video Player	Video Player	Videólejátszó	Videospeler	Reproductor de vídeos	Video player	Odtwarzacz wideo	Video přehrávač	Video plejer	Reprodutor de Vídeos	Reprodutor de Vídeos	Video mängija	Lecteur Vidéo	Lecteur Vidéo	비디오 재생기	视频播放器	視頻播放器	Video plejer	Видеопроигрыватель	Video Oynatıcısı	Video soitin	Видео плейър	Відеопрогравач	Video Player	Reproductor de vídeo	Player Video	ビデオプレイヤー	Vaizdo grotuvas	مشغل فديوهات	Бейне ойнатқыш	Videoavspiller	Video player	वीडि यो प्लेयर	เครื่องเล่นวีดีโอ	pemutar video	ვიდეო პლეერი	Video Atskaņotājs	Trình Phát Video	Video Player	Відэаплэер	Prehrávač videa	Video spelare	پخش کننده ویدئو
Warning	Warning	Figyelmeztetés	Waarschuwing	Advertencia	Avertizare	Ostrzeżenie	Varování	Upozorenje	Aviso	Aviso	Hojatus	Attention	Attention	경고	注意	注意	Upozorenje	Внимание	Uyarı	Varoitus	Внимание	Попередження	Warnung	Avís	Attenzione	警告	Įspėjimas	تحذير	Ескерту	Advarsel	Babala	चेतावनी	คำเตือน	peringatan	გაფრთხილება	Brīdinājums	Cảnh Báo	Προσοχή	Папярэджанне	Varovanie	Varning	هشدار
Playing more than one video can cause lags	Playing more than one video can cause lags	Egynél több videó lejátszása laggot okozhat!	Het afspelen van meer dan één video kan vertragingen veroorzaken	Reproducir más de un vídeo puede causar lag	Redarea mai multor videoclipuri poate cauza lag	Odtwarzanie więcej niż jeden film na raz może spowodować lagi	Přehrávání více než jednoho videa může způsobit záseky	Reprodukcija više od jednog video zapisa može uzrokovati kašnjenje	Reproduzir mais de um vídeo pode causar lag	Reproduzir mais de um vídeo pode causar lag	Mängides rohkem kui ühe video saab tekitada hakkimist	Jouer plus qu'une vidéo peut causer du lag	Jouer plus qu'une vidéo peut causer une instabillité	두 개 이상의 비디오를 재생하면 지연이 발생할 수 있습니다.	播放太多视频可能导致卡顿	播放太多視頻可能導致卡頓	Gledanje više videa može dovesti do laga.	Проигрывание более чем одного видео может вызвать лаги	Birden fazla video oynatmak  oyunun yavaşlamasına sebep olabilir	Useamman kuin yhden videon toistaminen voi aiheuttaa viiveitä	Играйте повече от	Програвання більше одного відео може викликати лаги	Die Wiedergabe von mehr als einem Video kann zu niedrigen FPS führen	Reproduir més d’un vídeo pot causar mal funcionament	Riprodurre più di un video potrebbe causare qualche lag	複数のビデオ再生すると、ゲームが遅延する可能性があります	Atliekant daugiau nei vieną vaizdo įrašą gali atsirasti trukdžių	قد يؤدي تشغيل أكثر من مقطع فيديو إلى حدوث تأخيرات	Бірнеше бейнені ойнату кідірістерге әкелуі мүмкін	Hvis du spiller av mer enn én video, kan det forårsake lagging	Ang pag-play ng higit sa 1 video ay maaaring magdulot ng lag	एक सेअधि क वीडि यो चलानेसेवि लबं हो सकता है	การเล่นมากกว่าหนึ่งวิดีโออาจทำให้เกิดความล่าช้าได้	Memutar lebih dari satu video dapat menyebabkan kelambatan	ერთზე მეტი ვიდეოს ჩართვამ შეიძლება გამოიწვიოს ლაგები	Ja atskaņojas vairāk nekā viens video, var kārties	Phát nhiều video có thể gây ra lag	Αναπαράγοντας περισσότερο απο ένα βίντεο μπορεί να προκαλέσει lags	Прайграванне больш чым аднаго відэа можа выклікаць затрымкі	Prehrávanie viac ako jedného viea naraz môže spôsobiť záseky	Spela mer än ett video kipp kan orsaka lagg	نمایش بیشتر از یک ویدئو میتواند منجر به لگ شود
Table	Table	Asztal	Tafel	Mesa	Masa	Stolik	Stůl	Table	Mesa	Mesa	Taffel	Table	Table	탁자	桌子	桌子	Sto	Стол	Masa	Pöytä	Маса	Стіл	Tisch	Taula	Tavolo	テーブル	Stalas	الطاولة	Кесте	Bord	mesa	टेबल	โต๊ะ	meja	მაგიდა	Galds	Bàn	Τραπέζι	стол	Stvôl	Bord	میز
App Downloader	App Downloader	Alkalmazástelepítő	App Downloader	Tienda de Apps	Descarcă aplicații	Sklep z aplikacjami	Obchod s aplikacemi	Preuzimanje aplikacija	Download de Aplicativos	Instalador de Aplicações	Äppi laadja	Téléchargeur d'applis	Téléchargeur d'applications	앱 다운로더	应用下载器	應用下載器	App downloader	Загрузчик приложений	Uygulama İndiricisi	Sovellusten asennusohjelma	Приложение за изтегляне	Завантажувач програм	App Downloader	Descarregador d’apps	App Downloader	アプリストア	Programėlių atsisiuntimo programa	تنزيل التطبيق	Қолданбаны жүктеп алу құралы	App-nedlaster	App downloader	पानी वाला ककूलरऐप डाउनलोडर	ดาวน์โหลดแอป	Pengunduh Aplikasi	აპლიკაციის ინსალერი	Aplikāciju lejupielādētājs	Trình Tải Ứng Dụng	Εγκαταστάτης Εφαρμογών	Загрузнік праграм	Sťahovač aplikácii	App nedladning	برنامه دانلود کننده
Install	Install	Telepítés	Installeren	Instalar	Instalați	Zainstaluj	Stáhnout	Instaliraj	Instalar	Instalar	Laadi alla	Installer	Installer	설치	安装	安裝	Instaliraj	Установить	Yükle	Lataa	Инсталирай	Встановити	Installieren	Instal·lar	Installare	インストール	Įdiegti	التثبت	Орнату	Installer	I-install	स्थापि त करना	ติดตั้ง	install	ინსტალაცია	Instalēt	Cài Đặt	Κατέβασμα	Усталяваць	Inštalovať	Installera	نصب
Uninstall	Uninstall	Eltávolítás	Verwijderen	Desinstalar	Dezinstalati	Odinstaluj	Odinstalovat	Deinstaliraj	Desinstalar	Desinstalar	Laadi maha	Désinstaller	Désinstaller	삭제	卸载	卸載	Izbriši	Удалить	Kaldır	Poista	Деинсталиране	Видалити	Deinstallieren	Desinstal·la	Disinstalla	アンインストール	Išdiegti	الغاء التثبيت	Жою	Avinstaller	I-uninstall	स्थापना रद्द करें	ถอนการติดตั้ง	uninstall	დინსტალაცია	Atinstalēt	Gỡ Cài Đặt	Απεγκατάσταση	Выдаліць	Odinštalovať	Avinstallera	حذف
Downloading	Downloading	Letöltés	Downloaden	Descargando	Descărcare	Instalowanie	Stahování	Preuzimanje	Baixando	A Instalar	Laadib	Téléchargement	Téléchargement	다운받는 중	下载中	下載中	Skidanje	Скачивание	İndiriliyor	Ladataan	Изтегля се	Встановлення	Herunterladen	Descarregant…	Installando…	ダウンロード	Atsisiunčiamas	جارى التحميل	Жүктеп алынуда	Laster ned	Nagda-download	डाउनलोड	กำลังดาวน์โหลด	download	გადმოწერა	Lejupielādējas	Đang Tải Xuống	Γίνεται Λήψη	Ідзе загрузка	Sťahovanie	Laddar ner	در حال دانلود
Uninstalling	Uninstalling	Eltávolítás	Verwijderen	Desinstalando	Dezinstalare	Odinstalowywanie	Odinstalování	Deinstaliranje	Desinstalando	A Desinstalar	Laadib maha	Désinstallation	Désinstallation	삭제 중	卸载中	卸載中	Brisanje	Удаление	Kaldırılıyor	poistetaan	Деинсталиране	Видалення	Deinstalliere	Desinstal·lant	Disinstallando	アンインストール	pašalinimas	إلغاء التثبيت	Жоюда	Avinstallerer	Ina-uninstall	की स्थापना रद्द	กำลังถอนการติดตั้ง	uninstall	წაშლა	Atinstalējas	Đang Gỡ Cài Đặt	Απεγκατάσταση	Выдаленне	Odinštalovanie	Avinstallerar	در حال حذف
Personalization	Personalization	Személyre szabás	Personalisatie	Personalización	Personalizare	Personalizacja	Přizpůsobení	Personalizacija	Personalização	Personalização	Isikupärastamine	Personalisation	Personalisation	개인 설정	自定义	自定義	Personalizacija	Персонализация	Kişiselleştirme	personointi	Персонализиране	Персоналізація	Personalizierung	Personalització	Personalizzazione	設定	Personalizavimas	إضفاء الطابع الشخصي	Жекелендіру	Personalisering	Personalization	वयै क्ति करण	ตั้งค่าโปรไฟล์	Personalisasi	პერსონალიზაცია	Personalizācija	Cá Nhân Hóa	Εξατομίκευση	Персаналізацыя	Personalizácia	Personalisering	شخصی سازی
User Name	User Name	Felhasználónév	Gebruikersnaam	Nombre de usuario	Nume de Utilizator	Nazwa użytkownika	Přezdívka	Korisničko ime	Nome de Usuário	Nome de Utilizador	Kasutajanimi	Nom d'utilisateur	Nom d'utilisateur	사용자 이름	用户名	用戶名	Korisničko ime	Имя пользователя	Kullanıcı adı	Käyttäjä nimi	Потребителско име	Ім'я користувача	Benutzername	Nom d’usuari	Nome Utente	ユーザー名	Vartotojo vardas	اسم االمستخدم	Пайдаланушы аты	Brukernavn	User name	उपयोगकर्ता नाम	ชื่อผู้ใช้	user name	სახელი	Lietotājvārds	Tên Tài Khoản	Όνομα Χρήστη	Імя карыстальніка	Meno používateľa	Användar namn	نام کاربری
Background	Background	Háttér	Achtergrond	Fondo de pantalla	Fundal	Tło	Pozadí	Pozadina	Papel de Parede	Fundo	Taustapilt	Fond d'écran	Fond d'écran	배경화면	背景	背景	Pozadina	Задний фон	Arkaplan	Tausta	Заден план	Шпалери	Hintergrund	Fons de pantalla	Sfondo	壁紙	Fonas	معرفتي	Фон	Bakgrunn	Background	पार्श्व भर्श्व मिूमि	พื้นหลัง	Latar Belakang	ფონი	Fons	Hình Nền	Background	Фон	Pozadie	Backgrund	پس زمینه
Shutting Down	Shutting Down	Leállítás	Afsluiten	Apagando	Închidere	Wyłączanie	Vypínání	Gašenje	Desligando	A Encerrar	Sulgemine	Fermeture	Fermeture	종료 중	关机中	關機中	Isključivanje	Выключение	Kapatılıyor	Sammutetaan	Изключване	Вимкнення	Herrunterfahren	Apagant…	Arrestando il Sistema...	シャットダウン	Išjungimas	اغلاق	Өшірілу	Slår av	Nagsasara	बदं करना	กำลังปิด	Mematikan	გათიშვა	Slēdzas Ārā	Đang Tắt	Πραγματοποιείται Κλείσιμο	Выключэнне	Vypínanie	Stänger ner	در حال خاموش شدن
Flat Monitor	Flat Monitor	Flat Monitor	Platte Monitor	Monitor plano	Monitor Plat	Płaski monitor	Plochý monitor	Flat Monitor	Monitor plano	Monitor plano	Lame monitor	Écran Plat	Écran Plat	플랫 모니터	平板显示器	平板顯示器	Ravan monitor	Плоский монитор	Düz Monitör	Litteä näyttö	Плосък монитор	Плоский монітор	Flachbildschirm	Monitor prim	Monitor piatto	フラットモニター	Plokščias Monitorius	شاشة مسطحة	Тегіс монитор	Flat skjerm	Flat monitor	फ्लटै मॉनि टर	จอแบน	monitor datar	თხელი მონიტორი	Plakans Monitors	Màn Hình Treo Tường	Επίπεδη Οθόνη	Плоскі манітор	Plochý monitor	Platt skärm	صفحه نمایش تخت
Monitor Stand	Monitor Stand	Monitorállvány	Monitor Standaard	Soporte para monitor	Suport pentru Monitor	Podstawka do monitora	Stojan na monitory	Postolje za monitor	Suporte de Monitor	Suporte de Monitor	Monitori Alus	Pied d'écran	Pied d'écran	모니터 지지대	显示器支架	顯示器支架	Postolje za monitor	Подставка для монитора	Monitör Standı	Näyttö teline	Стойка за монитор	Підставка під монітори	Monitor Ständer	Stand per monitors	Stand per monitor	モニタースタンド	Monitoriaus stovas	حامل الشاشة	Монитор тұғыры	Skjermstativ	Monitor stand	मॉनि टर स्टैंड	ขาตั้งจอมอนิเตอร์	dudukan monitor	სამაგრი	Monitora statīvs	Kệ Màn Hình	Βάση Οθόνης	Падстаўка для манітора	Držiak na monitor	Skärm hållare	نگه دارنده نمایشگر
Playing Time	Playing Time	Játékidő	Speeltijd	Tiempo de juego	Timp de Joc	Czas gry	Čas přehrávání	Vrijeme igranja	Tempo de Jogo	Tempo de Jogo	Mängimise aeg	Temps de jeu	Temps de jeu	플레이 시간	游戏时间	游戲時間	Vreme igranja	Время игры	Oynama Süresi	Pelaus aika	Време за игра	Час гри	Spielzeit	Temps de joc	Tempo giocato	再生時間	Žaidimo laikas	وقت اللعب	Ойнау уақыты	Spilletid	Oras ng paglalaro	खेलनेका समय	เวลาเล่น	Waktu bermain	თამაშის დრო	Aktivitātes Laiks	Giờ Chơi	Χρόνος Παιχνιδιού	Час прайгравання	Čas hrania	Speltid	زمان بازی
Apply	Apply	Alkalmaz	Toepassen	Aplicar	Aplica	Potwierdź	Potvrdit	Primijeni	Aplicar	Aplicar	Kohalda	Appliquer	Appliquer	신청	应用	應用	Primeni	Принять	Uygula	Käytä	Приложи	Прийняти	Übernehmen	Aplica	Applica	適応	Taikyti	تقدم	Қолдану	Bruk	mag-apply	आवेदन करना	นำมาใช้	terapkan	დაყენება	Apstiprināt	Áp Dụng	Εφάρμοση	Ужыць	Použiť	använd	ثبت
Benchmark	Benchmark	Benchmark	Benchmark	Benchmark	Benchmark	Benchmark	Test PC	Benchmark	Benchmark	Benchmark	Etalon	Benchmark	Benchmark	벤치마크	跑分	跑分	Benčmark	Тест	Değerlendirme	Vertailuarvo	Бенчмарк	Тест продуктивності	Benchmark	Benchmark	Benchmark	ベンチマーク	Lyginamasis rodiklis	المعيار	Эталон	Benchmark	Benchmark	बेंचमार्क	วัดประสิทธิภาพ	Benchmark	ქულა	Benchmark	Benchmark	Benchmark	Эталонны паказчык	Benchmark	Benchmark	بنچمترک
RGB Controller	RGB Controller	RGB Vezérlés	RGB Controller	Controlador RGB	Controler RGB	Kontroler RGB	RGB Ovládání	RGB kontroler	Controlador RGB	Controlador de RGB	RGB kontroller	Contrôlleur RGB	Contrôlleur RVB	RGB 설정	RGB控制器	RGB控制器	RGB kontroler	Контроллер подсветки	KYM (RGB) Kontrolü	RGB ohjain	RGB контролер	Контроллер підсвітки	RGB Controller	Controlador RGB	Controller RGB	RGBコントローラー	RGB Valdiklis	RGB تحكم	RGB контроллері	RGB-kontroll	RGB controller	आरजीबी नि यत्रं क	ปรับแต่ง RGB	Pengontrol RGB	RGB კონტოლი	RGB Kontrolleris	Điều Khiển RGB	RGB τηλεχειριστήριο	Кантролер RGB	Controlný panel pre (RGB)	RGB kontroll	تنظیمات رنگ
EZ Mining	EZ Mining	EZ Mining	EZ Mijnbouw	Minador EZ	Mineaza EZ	Kopanie EZ	EZ Těžení	EZ Mining	EZ Mining	EZ Mining	EZ Kaevandaja	Minage EZ	Minage EZ	EZ 채굴기	EZ挖矿	EZ挖礦	EZ Mining	Майнинг EZ	Kolay Maden Kazma	EZ Louhinta	EZ копане	EZ Майнинг	EZ Mining	Minador EZ	Minatore EZ	Ezマイニング	EZ Kasimas	التعدين EZ	EZ Mining	EZ Mining	EZ Pagmimina	ईज़ी खनन	EZ Mining	EZ Mining	EZ მაინერი	EZ Rakšana	EZ Mining	ΕΖ Mining	EZ Майнинг	EZ Ťažič	EZ grävare	EZ Mining
File Information	File Information	Fájlinformáció	Bestandsinformatie	Información del Archivo	Informații despre Fișier	Właściwości pliku	Informace souboru	Informacije o fajlu	Informação de Arquivo	Informação do Ficheiro	Faili Informatsioon	Information du Fichier	Information du Fichier	파일 정보	文件信息	文件信息	Informacije o fajlu	Информация файла	Dosya Bilgisi	Tiedoston tiedot	Файлова информация	Інформація про файл	Datei Information	Informació del fitxer	Informazioni del File	ファイルエクスプローラー	Filo Informacija	معلومات الملف	Файл туралы ақпарат	Filinfotmasjon	Impormasyon ng file	फ़ाइल जानकारी	ข้อมูลเซฟ	informasi file	ფაილის ინფორმაცია	Faila Informācija	Thông Tin File	Πληροφορίες Εγγράφου	Інфармацыя аб файле	Informácie o súbore	Fil infomation	اطلاعات فایل
Restore	Restore	Visszaállítás	Herstellen	Restaurar	Restabiliti	Przywróć	Obnovit	Restore	Restaurar	Restaurar	Taasta	Récupérer	Restaurer	복원	恢复	恢復	Vrati	Восстановить	Yenile	Palauta	Възстанови	Відновити	Wiederstellen	Restaura	Ripristina	戻す	Restauruoti	أعاد	Қалпына келтіру	Gjenopprett	Ibalik	पनु र्स्था पि त करना	คืนค่า	memulihkan	აღდენა	Atjaunot	Khôi Phục	Επαναφέρω	Аднавіць	Obnoviť	Återställ	برگرداندن
Import	Import	Importálás	Importeren	Importar	Import	Importuj	Importovat	Uvoz	Importar	Importar	Importi	Importer	Importer	수입	导入	導入	Uvoz	Импорт	İçe aktar	Tuo	Импортиране	Імпорт	Importieren	Importa	Importa	インポート	Importas	استيراد	Импорттау	Importer	Angkat	आयात	นำเข้า	import	იმპორტი	Importēt	Xuất Vào	Εισαγωγή	Імпарт	Importovať	Importera	وارد کردن
Export	Export	Exportálás	Exporteren	Exportar	Export	Exportuj	Exportovat	Izvoz	Exportar	Exportar	Exporti	Exporter	Exporter	수출	导出	導出	Izvoz	Экспорт	Dışa aktar	Vie	Експортиране	Експорт	Exportieren	Exporta	Esporta	エキスポート	Eksportas	تصدير	Экспорттау	Eksporter	I-export	नि र्या त करना	ส่งออก	export	ექსპორტი	Eksportēt	Xuất Ra	Εξαγωγή	Экспарт	Exportovať	Exportera	خارج کردن
Text Editor	Text Editor	Szövegszerkesztő	Teksteditor	Editor de Texto	Editor de Text	Edytor tekstu	Editor textu	Text Editor	Editor de Texto	Editor de Texto	Teksti Toimetaja	Éditeur de Texte	Éditeur de Texte	텍스트 편집	文字编辑器	文字編輯器	Editor teksta	Текстовый редактор	Yazı düzenleyicisi	Teksin muokkain	Текстов редактор	Текстовий редактор	Text Editor	Editor de text	Modifica il Testo	テキストエディタ	Teksto Redaktorius	محرر النص	Мәтіндік редактор	Tekst-redigering	Text editor	पाठ सपं ादक	พิมพ์ข้อความ	editor teks	ტექსტის რედაქტორი	Teksta Redaktors	Trình Soạn Thảo	Επεξεργαστής Κειμένου	Тэкставы рэдактар	Editor textu	Text ändrare	ویرایشگر متن
Paint	Paint	Paint	Schilderen	Pintar	Deseneaza	Farba	Malování	Paint	Pintar	Pintar	Värvi	Peinture	Peinture	페인트	绘画	繪畫	Oboji	Пейнт	Boya	Piirrä	Боядисвайте	Малювач	Paint	Pinta	Dipingi	ペイント	Dažymas	رسم	Бояу	Paint	Kulayan	रँगना	วาดรูป	melukis	ხატვა	Paint	Vẽ	Ζωγραφική	Фарба	Malovanie	Måla	نقاشی
Play	Play	Lejátszás	Spelen	Reproducir	Joaca	Graj	Hrát	Igraj	Reproduzir	Reproduzir	Mängi	Jouer	Jouer	시작	游玩	游玩	Igraj	Играть	Oyna	Pelaa	Играйте	Грати	Spielen	Reprodueix	Riproduci	プレイ	Žaisti	لعب	Ойнау	Spill	Maglaro	खेलना	เล่น	bermain	ჩართვა	Spēlēt	Chơi	Παίξε	гуляць	Hrať	Spela	شروع
Enter password	Enter password	Írd be a jelszót	Voer wachtwoord in	Introducir contraseña	Introdu parola	Wpisz hasło	Vlož heslo	Unesite lozinku	Inserir senha	Inserir Palavra-Passe	Sisesta Parool	Entrer le mot de passe	Entrez le mot de passe	패스워드를 입력하시오	输入密码	輸入密碼	Unesi šifru	Введите пароль	Şifre gir	Kirjoita salasana	Въведете паролата	Введіть пароль	Passwort eingeben	Introduir la contrasenya	Inserisci la Password	パスワードを入力してください	Įveskite Slaptažodį	أدخل كلمة المرور	Құпия сөзді енгізіңіз	Oppgi passord	Ilagay ang password	पास वर्ड दर्ज करें	ใส่รหัสผ่าน	masukkan password	შეიყვანეთ პაროლი	Ievadiet paroli	Nhập mật khẩu	Εισάγετε κωδικό πρόσβασης	Увядзіце пароль	Vložiť heslo	Skriv in lösenord	رمز را وارد کنید
Terminal	Terminal	Terminál	Terminal	Terminal	Terminal	Terminal	Terminál	Terminal	Terminal	Terminal	Terminal	Terminal	Terminal	터미널	终端	終端	Terminal	Терминал	Terminal	Komentokehote	Терминал	Термінал	Konsole	Terminal	Terminal	ターミナル	Terminalas	صالة	Терминал	Terminal	Terminal	टर्मि नर्मि ल	เทอร์มินัล	Terminal	ტერმინალი	Terminālis	Terminal	Terminal	Тэрмінал	Terminal	Terminal	ترمینال
LED Display	LED Display	LED Monitor	LED Display	Pantalla LED	Display LED	Wyświetlacz LEDowy	LED Displej	LED displej	Display LED	Display LED	LED ekraan	Écran LED	Écran DEL	LED 디스플레이	LED显示器	LED顯示器	LED	LED Дисплей	Led ekran	Led nättö	LED дисплей	LED Дисплей	LED Display	Pantalla LED	Display LED	LEDディスプレイ	LED ekranas	عرض LED	Жарықдиодты дисплей	LED display	LED display	नेतत्ृव मेंप्रदर्शनर्श	จอแสดงผล LED	menampilkan LED	LED ეკრანი	LED displejs	Màn Hình LED	LED Προβολής	Святлодыёдны дысплей	LED Displej	LED-skärm	نمایشگر LED
Password	Password	Jelszó	Wachtwoord	Contraseña	Parola	Hasło	Heslo	Lozinka	Senha	Palavra-Passe	Parool	Mot de passe	Mot de passe	패스워드	密码	密碼	Šifra	Пароль	Şifre	Salasana	Парола	Пароль	Passwort	Contrasenya	Password	パスワード	Slaptažodis	كلمه السر	Құпия сөз	Passord	Password	पासवर्ड	รหัสผ่าน	Password	პაროლი	Parole	Mật Khẩu	Κωδικός Πρόσβασης	Пароль	Heslo	Lösenord	رمز
Save file...	Save file...	Fájl mentése...	Bestand opslaan...	Guardar archivo...	Salvează fișierul...	Zapisz plik...	Uložit soubor...	Sačuvaj fajl...	Salvar Arquivo...	Guardar Ficheiro...	Salvesta Fail...	Enregistrer le fichier...	Enregistrer le fichier...	파일 저장...	储存文件...	儲存文件...	Sačuvaj fajl	Сохранить файл	Dosyayı kaydet	Tallenna tiedosto	Запишете файла...	Зберегти файл...	Speichere Datei...	Guarda fitxer	Salva il File...	ファイルを保存...	Išsaugoti Failą	احفظ الملف...	Файлды сақтау...	Lagre fil...	I-save ang file...	फाइल सरुक्षि त करें...	บันทึกไฟล์...	Simpan file...	ფაილის შენახვა...	Saglabā failu...	Lưu tệp...	Αποθήκευση Αρχείου	Захаваць файл...	Uložený súbor	Spara fil...	ذخیره فایل
File Name	File Name	Fájlnév	Bestandsnaam	Nombre del Archivo	Nume Fisier	Nazwa pliku	Název souboru	Ime datoteke	Nome do Arquivo	Nome do Ficheirp	Faili Nimi	Nom du fichier	Nom du fichier	파일 이름	文件名称	文件名稱	Ime fajla	Имя файла	Dosya ismi	Tiedoston nimi	Име на файл	Назва файлу	Datei Name	Nom del fitxer	Nome del File	ファイル名	Failo Pavadimas	اسم الملف	Файл атауы	Filnavn	File name	फ़ाइल का नाम	ชื่อไฟล์	nama file	ფაილის სახელი	Faila Nosaukums	Tên File	Όνομα Αρχείου	Імя файла	Názov súboru	Fil namn	نام فایل
